company,funds_raised_millions,total_laid_off
&Open,35,9
#Paid,21,19
"100 Thieves",120,12
"10X Genomics",242,100
1stdibs,253,70
2TM,250,90
2TM,250,100
54gene,44,95
6sense,426,150
8x8,253,155
8x8,253,200
99,244,75
Abra,106,12
Absci,237,40
Acast,126,70
Acko,143,45
Acorns,207,50
Actifio,352,54
Ada,190,78
"Ada Health",189,50
"Ada Support",60,36
"Adaptive Biotechnologies",406,100
Addepar,491,20
Adobe,2,100
AdRoll,89,210
Adwerx,20,40
Affirm,1500,500
Ahead,9,44
Airbnb,6400,30
Airbnb,5400,1900
Airtable,1400,254
Airtame,7,15
Airtime,33,30
Ajaib,245,67
Akulaku,160,100
AlayaCare,293,80
Albert,175,20
Alerzo,16,400
Alice,174,63
Alice,174,113
"AliExpress Russia",60,400
Allbirds,202,23
"Alto Pharmacy",356,47
Amazon,108,150
Amazon,108,8000
Amazon,108,10000
"American Robotics",92,50
Amount,283,130
Amperity,187,13
Amplero,25,17
Anagram,14,17
Andela,181,135
AngelList,26,20
Anodot,64,35
"Antidote Health",36,23
Anywell,15,11
"Apartment List",169,29
"App Annie",156,80
AppLovin,1600,300
ApplyBoard,483,90
Aqgromalin,12,80
"Aqua Security",265,65
"Aqua Security",100,24
Arc,1,13
"Argo AI",3600,100
"Argo AI",3600,150
"Argo AI",3600,173
"Argo AI",3600,259
Argyle,78,20
Armis,537,25
Arrival,629,800
"Arrive Logistics",35,75
Articulate,1500,38
Asana,453,180
Aspire,27,23
Astra,100,40
Astronomer,282,76
"Atlas Obscura",32,15
Atlassian,210,500
AtoB,177,32
Atsu,1,6
AU10TIX,80,19
Augury,274,20
Aura,500,70
"Automation Anywhere",840,260
AvantStay,811,80
AvantStay,686,144
Avo,45,500
Away,181,60
Aya,3,5
B8ta,88,250
Babylon,1100,100
"Back Market",1000,93
Balto,51,30
Balto,51,35
Banxa,13,70
Baton,13,16
"Beam Benefits",168,31
BeeTech,14,30
Bench,49,47
Benevity,69,137
"Berlin Brands Group",1000,100
Bestow,137,41
Better.com,905,900
Better.com,905,3000
Betterfly,204,30
Betterment,435,28
Bevi,60,30
"Beyond Meat",122,40
"Beyond Meat",122,200
BeyondMinds,16,65
BharatAgri,21,40
"Big Fish Games",95,250
BigCommerce,224,180
BioMarin,585,120
Bird,783,138
Bird,623,406
BitMEX,0,75
BitOasis,30,9
Bitpanda,546,270
BitSight,401,40
Bitso,378,80
Bitso,378,100
BitTitan,46,70
Bizongo,70,140
Bizzabo,194,100
Bizzabo,194,120
BlackBuck,293,200
