company,funds_raised_millions,percentage_laid_off
"Included Health",272,0.06
&Open,35,0.09
#Paid,21,0.17
"10X Genomics",242,0.08
1stdibs,253,0.17
2TM,250,0.12
2TM,250,0.15
2U,426,0.2
54gene,44,0.3
"5B Solar",12,0.25
6sense,426,0.1
"80 Acres Farms",275,0.1
8x8,253,0.07
8x8,253,0.09
98point6,247,0.1
99,244,0.02
Abra,106,0.05
Acast,126,0.15
Acko,143,0.09
ActiveCampaign,360,0.15
Ada,190,0.16
"Ada Support",60,0.23
"Adaptive Biotechnologies",406,0.12
Addepar,491,0.03
AdRoll,89,0.3
Affirm,1500,0.01
Affirm,1500,0.19
Ahead,9,1
Air,18,0.16
Airbnb,5400,0.25
Airlift,109,0.31
Airlift,109,1
Airtable,1400,0.2
Airtime,33,0.2
Aiven,420,0.2
Ajaib,245,0.08
AlayaCare,293,0.14
Albert,175,0.08
Alice,174,0.16
"AliExpress Russia",60,0.4
"Alto Pharmacy",356,0.06
Amazon,108,0.02
Amazon,108,0.03
"Amber Group",328,0.1
"American Robotics",92,0.65
Amount,283,0.18
Amount,283,0.25
Amperity,187,0.03
Amplero,25,1
Andela,181,0.1
Anodot,64,0.27
"Antidote Health",36,0.38
"Apartment List",169,0.1
Apollo,183,0.15
"Apollo Insurance",11,0.25
"App Annie",156,0.18
AppLovin,1600,0.12
ApplyBoard,483,0.06
Aqgromalin,12,0.3
"Aqua Security",265,0.1
"Aqua Security",100,0.09
"Arch Oncology",155,1
"Argo AI",3600,0.05
Argyle,78,0.07
Armis,537,0.04
Arrival,629,0.3
Arrival,629,0.5
"Arrive Logistics",35,0.07
Asana,453,0.09
Assure,2,1
Astra,300,0.16
Astra,100,0.25
Astronomer,282,0.2
Atlassian,210,0.05
AtoB,177,0.3
Atsu,1,1
Attentive,863,0.15
AU10TIX,80,0.09
Augury,274,0.05
Aura,500,0.09
"Aura Financial",584,1
Automatic,24,1
"Automation Anywhere",840,0.1
Automox,152,0.11
AvantStay,686,0.22
Avo,45,0.67
Away,181,0.1
Awok,30,1
Aya,3,0.25
B8ta,88,0.5
"Back Market",1000,0.13
Bakkt,932,0.15
"Bally's Interactive",946,0.15
Banxa,13,0.3
Baraja,63,0.75
Baton,13,0.25
"Beam Benefits",168,0.08
Beamery,223,0.12
Bench,49,0.1
Benevity,69,0.14
"Benitago Group",380,0.14
"Berkeley Lights",272,0.12
"Berlin Brands Group",1000,0.1
Bestow,137,0.14
Better.com,905,0.09
Better.com,905,0.33
Betterfly,204,0.3
Bevi,60,0.2
"Beyond Meat",122,0.19
BeyondMinds,16,1
BharatAgri,21,0.43
BigBear.ai,200,0.07
BigCommerce,224,0.13
Bilibili,3700,0.3
BioMarin,585,0.04
Bird,783,0.23
Bird,623,0.3
BitGo,69,0.12
BitMEX,0,0.3
BitMEX,0,0.25
BitOasis,30,0.05
Bitpanda,546,0.27
Bitrise,83,0.14
Bitso,378,0.11
BitTitan,46,0.27
Bizpay,45,0.3
Bizzabo,194,0.37
Bizzabo,194,0.3
BlackLine,220,0.05
Blend,665,0.06
Blend,665,0.1
Blend,665,0.12
Blend,665,0.28
Blockchain.com,490,0.28
Blockchain.com,490,0.25
BlockFi,1000,1
BlockFi,1000,0.2
"Blue Apron",352,0.1
Blueground,77,0.25
Bluprint,108,1
Bolt,1300,0.1
Bolt,1300,0.27
Bonsai,27,0.34
Bonsai,27,0.55
BookClub,26,0.25
BookMyShow,224,0.18
"Boosted Commerce",137,0.05
Boozt,56,0.05
Borrowell,72,0.2
"Bossa Nova",102,0.5
Bounce,214,0.05
Bounce,214,0.22
Bounce,214,0.4
BounceX,75,0.2
Branch,2,0.27
"Branch Metrics",367,0.2
"Brave Care",42,0.33
Breathe,6,0.33
Breather,131,0.8
Brex,732,0.15
Brex,1500,0.11
"Bridge Connector",45,1
Bridgit,36,0.13
"Bright Machines",250,0.08
"Bright Money",31,0.5
Brighte,145,0.15
Brightline,212,0.2
Bringg,84,0.1
Britishvolt,2400,1
Briza,10,0.4
Brodmann17,25,1
Bryter,89,0.3
Buenbit,11,0.45
Builder,29,0.14
"Built In",29,0.25
Bullish,300,0.08
BusBud,21,0.32
Buser,138,0.3
"Bustle Digital Group",80,0.08
"Bustle Digital Group",80,0.08
"Butler Hospitality",50,1
"Butterfly Network",530,0.25
"Butterfly Network",530,0.1
Button,64,0.35
"Buy.com / Rakuten",42,1
Buzzer,32,0.2
BuzzFeed,696,0.12
Byju's,5500,0.05
ByteDance,9400,0.1
C2FO,537,0.02
Cabin,3,0.2
Cadre,133,0.25
Calibrate,127,0.24
Calm,218,0.2
Cameo,165,0.25
"Camp K12",16,0.7
"Candy Digital",100,0.33
Canoo,300,0.06
Capitolis,281,0.25
Capitolis,281,0.25
Capsule,570,0.13
CaptivateIQ,164,0.1
"Carbon Health",522,0.08
Careem,771,0.31
"Career Karma",51,0.33
CarGurus,1,0.13
Carousell,372,0.1
Cars24,1300,0.06
Carsome,607,0.1
Carta,447,0.16
Carta,1100,0.1
Carvana,1600,0.12
Carvana,1600,0.08
Carwow,157,0.2
Casavo,708,0.3
Casper,339,0.21
"Castlight Health",184,0.13
Cazoo,2000,0.15
Cedar,351,0.24
Celsius,864,0.25
Cerebral,462,0.15
Cerebral,462,0.2
Chainalysis,536,0.05
"Change Invest",22,0.24
Change.org,72,0.19
Chargebee,468,0.1
Checkmarx,92,0.1
Checkout.com,1800,0.05
Checkr,309,0.12
Chime,2300,0.12
"Chipper Cash",302,0.125
"Chipper Cash",302,0.33
Chope,50,0.24
ChowNow,64,0.1
ChowNow,64,0.2
Chrono24,205,0.13
CircleCI,315,0.17
"Circulo Health",50,0.5
Cisco,2,0.05
"Citrine Informatics",64,0.27
Citrix,20,0.15
CityMall,112,0.3
"Clarify Health",328,0.05
ClassPass,549,0.22
Clear,140,0.2
Clearbanc,119,0.08
Clearco,681,0.25
ClearCo,698,0.3
CleverTap,76,0.2
ClickUp,537,0.07
Clinc,59,0.32
CloudFactory,78,0.12
Cloudinary,100,0.08
Clue,47,0.31
Clutch,153,0.22
Clutter,296,0.3
CNET,20,0.1
CoachHub,332,0.1
Code42,138,0.05
Code42,137,0.15
Codexis,162,0.18
"Coding Dojo",2,0.07
Cogito,92,0.14
Coinbase,549,0.2
Coinbase,549,0.18
CoinJar,1,0.2
Coinsquare,98,0.24
CommonBond,125,1
Community,40,0.3
Compass,1600,0.15
Compass,1600,0.1
Compete,17,0.28
Confluent,455,0.08
Conga,117,0.11
ConsenSys,10,0.14
ConsenSys,726,0.11
Consider.co,5,1
ContaAzul,37,0.35
ContraFect,380,0.37
Convene,280,0.18
Convoy,665,0.01
Convoy,1100,0.07
"Core Scientific",169,0.1
"Corvus Insurance",160,0.14
"Coterie Insurance",70,0.2
Crayon,16,0.2
"Credit Sesame",120,0.14
Creditas,314,0.06
Crejo.Fun,3,1
CrowdStreet,24,0.22
Cruise,5300,0.08
Crypto.com,156,0.05
Crypto.com,156,0.3
"CS Disco",233,0.09
CTO.ai,7,0.5
"Culture Amp",157,0.08
"Culture Trip",102,0.32
CureFit,404,0.16
Curve,182,0.1
Cvent,146,0.1
Cybereason,750,0.06
Cybereason,750,0.17
CyCognito,153,0.15
"Cyteir Therapeutics",156,0.7
D2iQ,247,0.13
D2L,168,0.05
"Daily Harvest",120,0.15
"Daily Harvest",120,0.2
DailyPay,814,0.15
Dance,63,0.16
"Dapper Labs",607,0.2
"Dapper Labs",607,0.22
Dark,3,1
DataRails,103,0.18
DataRobot,1000,0.26
DataRobot,1000,0.07
Datera,63,0.1
DealShare,390,0.06
"Deep Instinct",259,0.1
Degreed,411,0.15
DeHaat,254,0.05
Deliv,80,1
Deliveroo,1700,0.09
Deliveroo,1500,0.15
"Deliveroo Australia",1700,1
"Delivery Hero",9900,0.04
Demandbase,143,0.03
Deputy,106,0.3
"Descartes Labs",58,0.16
"Desktop Metal",811,0.12
Devo,481,0.15
DialSource,26,0.14
DigitalOcean,491,0.11
Dispatch,18,0.38
"Divergent 3D",88,0.36
"Divvy Homes",180,0.08
"Divvy Homes",180,0.12
Dock,280,0.12
Docly,16,0.8
DocuSign,536,0.09
DocuSign,536,0.1
Doma,679,0.13
Doma,679,0.15
Doma,679,0.4
Domestika,130,0.19
"Domino Data Lab",223,0.25
Domio,116,0.5
Domio,116,0.3
Domo,689,0.1
DoorDash,2500,0.06
Dover,22,0.3
DraftKings,719,0.04
DriveWealth,550,0.2
Dropbox,1700,0.15
"Dude Solutions",100,0.2
Dunzo,382,0.03
Dutchie,603,0.07
"Dynamic Signal",114,0.19
Earnin,190,0.2
"Earth Rides",2,1
EasyPost,12,0.25
Eatsy,1,1
Ebanx,30,0.08
Ebanx,460,0.2
eBay,1200,0.04
Ecobee,149,0.1
"Eden / Managed By Q",40,0.4
Edgio,462,0.1
"Editas Medicine",656,0.2
Edmodo,77,1
eGym,109,0.25
"Eight Sleep",70,0.2
Elastic,162,0.13
Electric,212,0.25
Element,96,0.15
"Element AI",257,0.15
Elementor,65,0.15
Elinvar,30,0.33
Elliptic,40,0.3
"Embark Trucks",317,0.7
Embroker,142,0.12
Emotive,78,0.18
"Engine eCommerce",4,1
Enjoei,14,0.1
Enjoy,310,0.18
Envoy,59,0.3
Equitybee,85,0.25
Equitybee,85,0.2
EquityZen,11,0.27
Ericsson,663,0.08
Ermetic,97,0.17
Esper,10,0.12
Esper,10,0.21
"Ethos Life",106,0.14
"Ethos Life",406,0.12
eToro,322,0.06
Eucalyptus,69,0.2
Eventbrite,557,0.08
Eventbrite,332,0.45
Everlane,176,0.17
Exodus,60,0.22
Exotel,87,0.15
