industry,stage,total_layoffs
Consumer,Post-IPO,32010
Retail,Post-IPO,31763
Other,Post-IPO,29602
Transportation,Post-IPO,20747
Healthcare,Post-IPO,15884
Hardware,Post-IPO,12898
Finance,Post-IPO,11851
Sales,Post-IPO,11478
Consumer,Unknown,7018
Travel,Acquired,6561
"Real Estate",Unknown,6534
Crypto,Unknown,5632
"Real Estate",Post-IPO,5552
Fitness,Post-IPO,5184
Infrastructure,Post-IPO,4985
Finance,Unknown,4027
Education,"Private Equity",4027
Food,Post-IPO,3587
Travel,Post-IPO,3389
Food,Unknown,3387
Education,Acquired,3348
Marketing,Post-IPO,2936
Data,Post-IPO,2842
Marketing,Acquired,2738
Construction,Unknown,2614
Transportation,"Series J",2600
Food,"Series C",2553
Consumer,Acquired,2507
Food,"Series H",2490
Finance,"Series B",2467
Healthcare,"Series C",2434
Food,"Series B",2394
Transportation,Unknown,2332
Media,Post-IPO,2319
Retail,Acquired,2304
Food,"Series I",2285
Other,"Series C",2273
Transportation,"Series D",2255
Crypto,Post-IPO,2180
Travel,"Private Equity",2044
Transportation,Acquired,1999
Retail,"Series C",1993
Security,Post-IPO,1922
Retail,Unknown,1899
Travel,"Series F",1850
Finance,"Series C",1839
Finance,"Series D",1809
Support,Post-IPO,1806
Retail,"Series D",1781
Marketing,"Series C",1679
Finance,"Series G",1656
Consumer,"Series E",1610
"Real Estate","Series C",1549
Healthcare,"Series F",1549
Healthcare,"Series D",1517
Fitness,"Series D",1517
Education,"Series H",1500
Education,"Series E",1488
Retail,"Series B",1478
Food,Acquired,1467
Finance,"Series E",1437
Other,"Series D",1387
Food,"Series F",1300
Security,"Series C",1278
Recruiting,Acquired,1260
Travel,"Series D",1250
Finance,"Series H",1212
Logistics,"Series E",1130
Logistics,"Series F",1100
Other,Acquired,1009
"Real Estate","Series B",948
Hardware,Unknown,930
Transportation,"Series B",928
Healthcare,"Series E",892
Marketing,"Series D",870
"Real Estate","Series H",850
Healthcare,"Series B",849
Healthcare,Unknown,845
Marketing,Unknown,838
Media,Unknown,832
Logistics,"Series D",827
Retail,"Series F",823
Education,"Series A",821
Other,"Series B",818
Travel,Unknown,814
"Real Estate","Series D",802
Retail,"Series E",799
"Real Estate","Series E",799
Education,"Series D",795
Fitness,Acquired,784
HR,Post-IPO,770
Finance,"Series A",756
Travel,"Series B",709
Security,"Series F",698
Transportation,"Series F",684
Healthcare,"Series H",665
Aerospace,Unknown,661
Food,"Series A",625
Crypto,"Series A",620
Food,"Series J",620
Food,"Series D",610
Support,Acquired,609
Transportation,"Series G",600
Crypto,"Series D",598
Security,Acquired,583
Crypto,"Series C",511
Education,"Series B",507
HR,"Series E",507
Marketing,"Series B",506
Consumer,"Series H",500
Healthcare,Acquired,486
Media,Acquired,479
Finance,"Series F",478
Data,"Series E",475
Retail,"Series A",456
Energy,"Series E",450
Food,"Series E",446
Finance,"Private Equity",437
Recruiting,"Series B",435
Other,Unknown,418
Consumer,"Series B",416
Fitness,"Series E",416
Construction,"Series B",409
Construction,"Series E",400
Crypto,Acquired,390
Support,"Series C",382
Data,"Series A",379
"Real Estate","Series G",375
Media,"Series F",374
